timestamp,gpu_index,gpu_utilization,memory_used,memory_total
1788829216.7592754,0,0,133663,143771
1788829216.7592828,1,59,141531,143771
1788829217.8002374,0,100,133663,143771
1788829217.8002443,1,100,141531,143771
1788829218.839266,0,100,133663,143771
1788829218.8392727,1,100,141531,143771
1788829219.880862,0,100,133663,143771
1788829219.880869,1,100,141531,143771
1788829220.921444,0,100,133663,143771
1788829220.9214509,1,100,141531,143771
1788829221.9634054,0,100,133663,143771
1788829221.963412,1,100,141531,143771
1788829223.0001192,0,100,133663,143771
1788829223.0001254,1,100,141531,143771
1788829224.0404,0,100,133663,143771
1788829224.0404067,1,100,141531,143771
1788829225.0791056,0,100,133663,143771
1788829225.0791125,1,100,141531,143771
1788829226.1172545,0,100,133663,143771
1788829226.1172616,1,100,141531,143771
1788829227.1596286,0,100,133663,143771
1788829227.1596353,1,100,141531,143771
1788829228.1946867,0,100,133663,143771
1788829228.194693,1,100,141531,143771
1788829229.233845,0,100,133663,143771
1788829229.2338533,1,100,141531,143771
1788829230.273574,0,100,133663,143771
1788829230.2735772,1,100,141531,143771
1788829231.3127308,0,100,133663,143771
1788829231.3127344,1,100,141531,143771
1788829232.3524125,0,100,133663,143771
1788829232.3524191,1,100,141531,143771
1788829233.3917134,0,100,133663,143771
1788829233.391718,1,100,141531,143771
1788829234.4306352,0,100,133663,143771
1788829234.4306421,1,100,141531,143771
1788829235.4704514,0,100,133663,143771
1788829235.4704578,1,100,141531,143771
1788829236.5120423,0,100,133663,143771
1788829236.5120494,1,100,141531,143771
1788829237.5514777,0,100,133663,143771
1788829237.5514863,1,100,141531,143771
1788829238.5880265,0,100,133663,143771
1788829238.588033,1,100,141531,143771
1788829239.6431699,0,100,133663,143771
1788829239.6431768,1,100,141531,143771
1788829240.6829274,0,100,133663,143771
1788829240.682932,1,100,141531,143771
1788829241.7219105,0,100,133663,143771
1788829241.721917,1,100,141531,143771
1788829242.7613583,0,100,133663,143771
1788829242.761365,1,100,141531,143771
1788829243.8008146,0,100,133663,143771
1788829243.8008223,1,100,141531,143771
1788829244.8404465,0,100,133663,143771
1788829244.8404565,1,100,141531,143771
1788829245.8792648,0,100,133663,143771
1788829245.879271,1,100,141531,143771
1788829246.9203558,0,100,133663,143771
1788829246.9203658,1,100,141531,143771
1788829247.961043,0,100,133663,143771
1788829247.9610496,1,100,141531,143771
1788829249.0009937,0,100,133663,143771
1788829249.0009985,1,100,141531,143771
1788829250.054444,0,100,133663,143771
1788829250.0544522,1,100,141531,143771
1788829251.0935192,0,100,133663,143771
1788829251.0935261,1,100,141531,143771
1788829252.138822,0,100,133663,143771
1788829252.1388288,1,100,141531,143771
1788829253.1707973,0,100,133663,143771
1788829253.1708038,1,100,141531,143771
1788829254.2080448,0,100,133663,143771
1788829254.208051,1,100,141531,143771
1788829255.2463596,0,100,133663,143771
1788829255.2463627,1,100,141531,143771
1788829256.2847488,0,100,133663,143771
1788829256.2847571,1,100,141531,143771
1788829257.3253722,0,100,133663,143771
1788829257.325379,1,100,141531,143771
1788829258.363535,0,100,133663,143771
1788829258.3635428,1,100,141531,143771
1788829259.4030597,0,100,133663,143771
1788829259.4030666,1,100,141531,143771
1788829260.4432187,0,100,133663,143771
1788829260.4432254,1,100,141531,143771
1788829261.483228,0,100,133663,143771
1788829261.483235,1,100,141531,143771
1788829262.5218372,0,100,133663,143771
1788829262.521844,1,100,141531,143771
1788829263.5598025,0,100,133663,143771
1788829263.5598094,1,100,141531,143771
1788829264.5994408,0,100,133663,143771
1788829264.5994492,1,100,141531,143771
1788829265.6403873,0,100,133663,143771
1788829265.640394,1,100,141531,143771
1788829266.6800373,0,100,133663,143771
1788829266.6800437,1,100,141531,143771
1788829267.7200406,0,100,133663,143771
1788829267.720047,1,100,141531,143771
1788829268.7573428,0,100,133663,143771
1788829268.757349,1,100,141531,143771
1788829269.796164,0,100,133663,143771
1788829269.796171,1,100,141531,143771
1788829270.8354812,0,100,133663,143771
1788829270.8354878,1,100,141531,143771
1788829271.8764331,0,100,133663,143771
1788829271.8764405,1,100,141531,143771
1788829272.9161406,0,100,133663,143771
1788829272.916149,1,100,141531,143771
1788829273.9552464,0,100,133663,143771
1788829273.9552536,1,100,141531,143771
1788829274.994241,0,100,133663,143771
1788829274.994244,1,100,141531,143771
1788829276.0335894,0,100,133663,143771
1788829276.0335963,1,100,141531,143771
1788829277.0721488,0,100,133663,143771
1788829277.0721552,1,100,141531,143771
1788829278.112982,0,100,133663,143771
1788829278.1129885,1,100,141531,143771
1788829279.1518743,0,100,133663,143771
1788829279.151881,1,100,141531,143771
1788829280.1890702,0,100,133663,143771
1788829280.189077,1,100,141531,143771
1788829281.2262638,0,100,133663,143771
1788829281.2262707,1,100,141531,143771
1788829282.265985,0,100,133663,143771
1788829282.2659914,1,100,141531,143771
1788829283.3024418,0,100,133663,143771
1788829283.3024504,1,100,141531,143771
1788829284.3400152,0,100,133663,143771
1788829284.3400218,1,100,141531,143771
1788829285.3782165,0,100,133663,143771
1788829285.3782232,1,100,141531,143771
1788829286.4150388,0,100,133663,143771
1788829286.4150457,1,100,141531,143771
1788829287.4517026,0,100,133663,143771
1788829287.4517093,1,100,141531,143771
1788829288.4902165,0,100,133663,143771
1788829288.490223,1,100,141531,143771
1788829289.5302725,0,100,133663,143771
1788829289.5302796,1,100,141531,143771
1788829290.5675852,0,100,133663,143771
1788829290.567592,1,100,141531,143771
1788829291.6058767,0,100,133663,143771
1788829291.6058831,1,100,141531,143771
1788829292.6450503,0,100,133663,143771
1788829292.645057,1,100,141531,143771
1788829293.6842375,0,100,133663,143771
1788829293.684246,1,100,141531,143771
1788829294.7203953,0,100,133663,143771
1788829294.7204018,1,100,141531,143771
1788829295.7580476,0,100,133663,143771
1788829295.7580545,1,100,141531,143771
1788829296.794806,0,100,133663,143771
1788829296.7948127,1,100,141531,143771
1788829297.8343751,0,100,133663,143771
1788829297.8343818,1,100,141531,143771
1788829298.872297,0,100,133663,143771
1788829298.872304,1,100,141531,143771
1788829299.9122686,0,100,133663,143771
1788829299.9122756,1,100,141531,143771
1788829300.9507687,0,100,133663,143771
1788829300.9507751,1,100,141531,143771
1788829301.9885166,0,100,133663,143771
1788829301.9885235,1,100,141531,143771
