timestamp,gpu_index,gpu_utilization,memory_used,memory_total
1788119471.2781816,0,0,134215,143771
1788119471.2782106,1,0,142633,143771
1788119472.321134,0,0,134215,143771
1788119472.3211591,1,0,142633,143771
1788119473.3625543,0,0,134215,143771
1788119473.3625817,1,0,142633,143771
1788119474.404802,0,0,134215,143771
1788119474.4048257,1,0,142633,143771
1788119475.4495142,0,0,134215,143771
1788119475.4495437,1,0,142633,143771
1788119476.4943485,0,0,134215,143771
1788119476.4943771,1,0,142633,143771
1788119477.5368931,0,0,134215,143771
1788119477.5369146,1,0,142633,143771
1788119478.576789,0,0,134215,143771
1788119478.5768087,1,0,142633,143771
1788119479.619125,0,0,134215,143771
1788119479.6191423,1,0,142633,143771
1788119480.6600773,0,0,134215,143771
1788119480.6600964,1,0,142633,143771
1788119481.704194,0,0,134215,143771
1788119481.704212,1,0,142633,143771
1788119482.7886813,0,0,134215,143771
1788119482.7887087,1,0,142633,143771
1788119483.8372436,0,10,134215,143771
1788119483.8372738,1,57,142633,143771
1788119484.868559,0,10,134215,143771
1788119484.8685884,1,56,142633,143771
1788119485.9150083,0,10,134215,143771
1788119485.9150367,1,58,142633,143771
1788119486.9594166,0,15,134215,143771
1788119486.959443,1,60,142633,143771
1788119488.038165,0,10,134215,143771
1788119488.0381932,1,60,142633,143771
1788119489.1323955,0,11,134215,143771
1788119489.1324189,1,63,142633,143771
1788119490.1773489,0,0,134215,143771
1788119490.17737,1,62,142633,143771
1788119491.2247567,0,18,134215,143771
1788119491.2247844,1,64,142633,143771
1788119492.2869349,0,0,134215,143771
1788119492.286959,1,66,142633,143771
1788119493.3196864,0,8,134215,143771
1788119493.3197055,1,71,142633,143771
1788119494.3512764,0,11,134215,143771
1788119494.351293,1,73,142633,143771
1788119495.3975341,0,0,134215,143771
1788119495.3975446,1,72,142633,143771
1788119496.42581,0,0,134215,143771
1788119496.4258277,1,72,142633,143771
1788119497.4547038,0,6,134215,143771
1788119497.45472,1,76,142633,143771
1788119498.5004926,0,20,134215,143771
1788119498.5005205,1,82,142633,143771
1788119499.5461967,0,0,134215,143771
1788119499.546217,1,87,142633,143771
1788119500.575961,0,10,134215,143771
1788119500.5759811,1,87,142633,143771
1788119501.6066737,0,0,134215,143771
1788119501.6066997,1,91,142633,143771
1788119502.651914,0,0,134215,143771
1788119502.6519394,1,95,142633,143771
1788119503.6982465,0,0,134215,143771
1788119503.6982727,1,100,142633,143771
1788119504.7453153,0,3,134215,143771
1788119504.745338,1,100,142633,143771
1788119505.7903013,0,31,134215,143771
1788119505.7903218,1,100,142633,143771
1788119506.838693,0,20,134215,143771
1788119506.8387213,1,100,142633,143771
