timestamp,gpu_index,gpu_utilization,memory_used,memory_total
1788122674.6280038,0,0,134169,143771
1788122674.6280327,1,0,134173,143771
1788122675.6728172,0,0,134169,143771
1788122675.6728463,1,0,134173,143771
1788122676.7173297,0,0,134169,143771
1788122676.7173579,1,0,134173,143771
1788122677.7618165,0,0,134169,143771
1788122677.7618392,1,0,134173,143771
1788122678.8056982,0,0,134169,143771
1788122678.8057194,1,0,134173,143771
1788122679.849251,0,0,134169,143771
1788122679.8492804,1,0,134173,143771
1788122680.890929,0,0,134169,143771
1788122680.8909512,1,0,134173,143771
1788122681.9332578,0,0,134169,143771
1788122681.9332802,1,0,134173,143771
1788122682.975583,0,0,134169,143771
1788122682.9756086,1,0,134173,143771
1788122684.0178115,0,0,134169,143771
1788122684.017837,1,0,134173,143771
1788122685.0592854,0,0,134169,143771
1788122685.0593126,1,0,134173,143771
1788122686.1017196,0,0,134169,143771
1788122686.101745,1,0,134173,143771
1788122687.1468482,0,15,134169,143771
1788122687.1468763,1,47,134173,143771
1788122688.1907253,0,29,134169,143771
1788122688.1907523,1,47,134173,143771
1788122689.2359002,0,25,134169,143771
1788122689.235928,1,50,134173,143771
1788122690.2648118,0,9,134169,143771
1788122690.2648387,1,51,134173,143771
1788122691.3093932,0,9,134169,143771
1788122691.3094213,1,56,134173,143771
1788122692.3369458,0,15,134169,143771
1788122692.3369718,1,57,134173,143771
1788122693.3833966,0,10,134169,143771
1788122693.383424,1,60,134173,143771
1788122694.428613,0,12,134169,143771
1788122694.4286518,1,58,134173,143771
1788122695.4724262,0,7,134169,143771
1788122695.472454,1,70,134173,143771
1788122696.514161,0,15,134169,143771
1788122696.514187,1,71,134173,143771
1788122697.557361,0,14,134169,143771
1788122697.557388,1,78,134173,143771
1788122698.5864666,0,5,134169,143771
1788122698.5864933,1,83,134173,143771
1788122699.616995,0,12,134169,143771
1788122699.6170223,1,92,134173,143771
1788122700.6626008,0,10,134169,143771
1788122700.6626399,1,100,134173,143771
1788122701.7101562,0,0,134169,143771
1788122701.7101882,1,100,134173,143771
1788122702.7440124,0,19,134169,143771
1788122702.7440376,1,100,134173,143771
1788122703.791882,0,15,134169,143771
1788122703.7919118,1,98,134173,143771
1788122704.8288348,0,14,134169,143771
1788122704.8288653,1,100,134175,143771
1788122705.875964,0,10,134169,143771
1788122705.8759878,1,100,134175,143771
1788122706.9221954,0,10,134169,143771
1788122706.9222207,1,100,134175,143771
1788122707.9661882,0,5,134169,143771
1788122707.9662092,1,100,134175,143771
1788122709.01234,0,12,134169,143771
1788122709.0123641,1,100,134175,143771
1788122710.0581594,0,7,134169,143771
1788122710.0581837,1,100,134175,143771
1788122711.103267,0,20,134169,143771
1788122711.103287,1,100,134175,143771
1788122712.1483562,0,12,134169,143771
1788122712.1483746,1,100,134175,143771
1788122713.1825247,0,5,134169,143771
1788122713.1825528,1,100,134175,143771
1788122714.228383,0,12,134169,143771
1788122714.2284048,1,100,134175,143771
1788122715.2722757,0,10,134169,143771
1788122715.272295,1,100,134175,143771
1788122716.3188388,0,10,134169,143771
1788122716.3188608,1,100,134175,143771
1788122717.3639264,0,10,134169,143771
1788122717.3639443,1,100,134175,143771
1788122718.4090416,0,17,134169,143771
1788122718.4090586,1,100,134175,143771
1788122719.4546192,0,7,134169,143771
1788122719.4546468,1,100,134175,143771
1788122720.5009038,0,5,134169,143771
1788122720.5009196,1,100,134175,143771
1788122721.532147,0,15,134169,143771
1788122721.5321689,1,100,134175,143771
1788122722.5637014,0,5,134169,143771
1788122722.5637257,1,100,134175,143771
1788122723.6086748,0,0,134169,143771
1788122723.6086938,1,100,134175,143771
1788122724.6541722,0,5,134169,143771
1788122724.6541994,1,100,134175,143771
1788122725.6994264,0,0,134169,143771
1788122725.6994462,1,100,134175,143771
1788122726.7451527,0,0,134169,143771
1788122726.745179,1,100,134175,143771
1788122727.7901466,0,0,134169,143771
1788122727.7901666,1,100,134175,143771
1788122728.8349316,0,0,134169,143771
1788122728.8349495,1,100,134175,143771
1788122729.8645809,0,0,134169,143771
1788122729.864599,1,100,134175,143771
1788122730.894954,0,0,134169,143771
1788122730.8949723,1,100,134175,143771
1788122731.9394803,0,0,134169,143771
1788122731.9394972,1,100,134175,143771
1788122732.9690542,0,0,134169,143771
1788122732.9690726,1,100,134175,143771
1788122734.0132508,0,0,134169,143771
1788122734.0132678,1,100,134175,143771
1788122735.058216,0,0,134169,143771
1788122735.0582485,1,100,134175,143771
1788122736.1036153,0,0,134169,143771
1788122736.1036453,1,100,134175,143771
1788122737.1491797,0,0,134169,143771
1788122737.1492047,1,100,134175,143771
1788122738.1802428,0,0,134169,143771
1788122738.1802638,1,100,134175,143771
1788122739.2250872,0,0,134169,143771
1788122739.2251062,1,100,134175,143771
1788122740.2705164,0,0,134169,143771
1788122740.270545,1,100,134175,143771
1788122741.3158238,0,0,134169,143771
1788122741.315846,1,100,134175,143771
1788122742.3608062,0,0,134169,143771
1788122742.3608239,1,100,134175,143771
1788122743.4055758,0,0,134169,143771
1788122743.4055939,1,100,134175,143771
1788122744.4473968,0,0,134169,143771
1788122744.4474146,1,100,134175,143771
1788122745.4776347,0,0,134169,143771
1788122745.4776525,1,100,134175,143771
1788122746.5058208,0,0,134169,143771
1788122746.5058382,1,100,134175,143771
1788122747.5359468,0,0,134169,143771
1788122747.5359695,1,100,134175,143771
1788122748.5698664,0,0,134169,143771
1788122748.5698857,1,100,134175,143771
1788122749.61544,0,0,134169,143771
1788122749.6154633,1,100,134175,143771
1788122750.6604722,0,0,134169,143771
1788122750.6604922,1,100,134175,143771
1788122751.701801,0,0,134169,143771
1788122751.7018294,1,100,134175,143771
1788122752.747256,0,0,134169,143771
1788122752.7472765,1,100,134175,143771
1788122753.7912633,0,0,134169,143771
1788122753.7912817,1,100,134175,143771
1788122754.8352485,0,0,134169,143771
1788122754.8352697,1,100,134175,143771
1788122755.8809385,0,0,134169,143771
1788122755.8809667,1,100,134175,143771
1788122756.911887,0,0,134169,143771
1788122756.9119153,1,100,134175,143771
1788122757.956095,0,0,134169,143771
1788122757.9561143,1,100,134175,143771
1788122759.0016422,0,0,134169,143771
1788122759.0016644,1,100,134175,143771
1788122760.0449252,0,0,134169,143771
1788122760.0449445,1,100,134175,143771
1788122761.0779762,0,0,134169,143771
1788122761.0780046,1,100,134175,143771
1788122762.1250577,0,0,134169,143771
1788122762.1250803,1,100,134175,143771
1788122763.1706107,0,0,134169,143771
1788122763.170648,1,100,134175,143771
1788122764.216015,0,0,134169,143771
1788122764.2160268,1,100,134175,143771
1788122765.2612872,0,0,134169,143771
1788122765.2613072,1,100,134175,143771
1788122766.3101048,0,0,134169,143771
1788122766.3101237,1,100,134175,143771
1788122767.3561904,0,0,134169,143771
1788122767.35622,1,100,134175,143771
1788122768.401409,0,0,134169,143771
1788122768.4014287,1,100,134175,143771
1788122769.4458616,0,0,134169,143771
1788122769.4458814,1,84,134175,143771
1788122770.4907918,0,0,134169,143771
1788122770.4908192,1,74,134175,143771
1788122771.5748062,0,0,134169,143771
1788122771.5748343,1,65,134175,143771
1788122772.618871,0,0,134169,143771
1788122772.618895,1,53,134175,143771
1788122773.662755,0,0,134169,143771
1788122773.6627672,1,0,134175,143771
