timestamp,gpu_index,gpu_utilization,memory_used,memory_total
1788733099.6312435,0,0,135695,143771
1788733099.6312535,1,0,135695,143771
1788733099.631258,2,0,135695,143771
1788733099.6312609,3,0,135695,143771
1788733099.6312637,4,0,135899,143771
1788733099.631266,5,0,135899,143771
1788733099.631269,6,0,4,143771
1788733099.6312718,7,0,4,143771
1788733100.7527375,0,0,135695,143771
1788733100.752743,1,16,135695,143771
1788733100.7527463,2,7,135695,143771
1788733100.7527487,3,3,135695,143771
1788733100.7527516,4,100,135899,143771
1788733100.752754,5,34,135899,143771
1788733100.7527566,6,0,4,143771
1788733100.7527602,7,0,4,143771
1788733101.875942,0,0,135695,143771
1788733101.8759465,1,0,135695,143771
1788733101.87595,2,15,135695,143771
1788733101.8759527,3,12,135695,143771
1788733101.875955,4,100,135899,143771
1788733101.8759573,5,34,135899,143771
1788733101.8759599,6,0,4,143771
1788733101.875963,7,0,4,143771
1788733103.0013142,0,0,135695,143771
1788733103.0013187,1,0,135695,143771
1788733103.0013218,2,0,135695,143771
1788733103.0013247,3,18,135695,143771
1788733103.0013275,4,100,135899,143771
1788733103.0013297,5,35,135899,143771
1788733103.0013328,6,0,4,143771
1788733103.0013356,7,0,4,143771
1788733104.1217186,0,37,135695,143771
1788733104.121724,1,24,135695,143771
1788733104.121727,2,8,135695,143771
1788733104.1217406,3,19,135695,143771
1788733104.121744,4,100,135899,143771
1788733104.1217465,5,36,135899,143771
1788733104.121749,6,0,4,143771
1788733104.121752,7,0,4,143771
1788733105.2416396,0,0,135695,143771
1788733105.2416453,1,0,135695,143771
1788733105.2416484,2,0,135695,143771
1788733105.2416515,3,0,135695,143771
1788733105.2416928,4,100,135899,143771
1788733105.2416954,5,35,135899,143771
1788733105.2416983,6,0,4,143771
1788733105.2417014,7,0,4,143771
1788733106.3608072,0,17,135695,143771
1788733106.3608143,1,9,135695,143771
1788733106.3608189,2,7,135695,143771
1788733106.3608227,3,17,135695,143771
1788733106.3608258,4,100,135899,143771
1788733106.3608294,5,39,135899,143771
1788733106.3608322,6,0,4,143771
1788733106.3608358,7,0,4,143771
1788733107.4838114,0,3,135695,143771
1788733107.4838188,1,41,135695,143771
1788733107.4838223,2,24,135695,143771
1788733107.4838257,3,47,135695,143771
1788733107.4838295,4,100,135899,143771
1788733107.4838321,5,41,135899,143771
1788733107.483835,6,0,4,143771
1788733107.4838378,7,0,4,143771
1788733108.6067812,0,16,135695,143771
1788733108.6067896,1,14,135695,143771
1788733108.6067932,2,7,135695,143771
1788733108.6067963,3,0,135695,143771
1788733108.6067991,4,98,135899,143771
1788733108.6068015,5,42,135899,143771
1788733108.606804,6,0,4,143771
1788733108.6068075,7,0,4,143771
1788733109.728913,0,17,135695,143771
1788733109.7289197,1,7,135695,143771
1788733109.7289236,2,10,135695,143771
1788733109.7289264,3,13,135695,143771
1788733109.7289298,4,100,135901,143771
1788733109.7289336,5,43,135901,143771
1788733109.7289367,6,0,4,143771
1788733109.7289402,7,0,4,143771
1788733110.8509517,0,49,135695,143771
1788733110.8509574,1,11,135695,143771
1788733110.850961,2,1,135695,143771
1788733110.8509643,3,11,135695,143771
1788733110.8509684,4,100,135901,143771
1788733110.850971,5,45,135901,143771
1788733110.8509736,6,0,4,143771
1788733110.850977,7,0,4,143771
1788733111.9751635,0,14,135695,143771
1788733111.9751701,1,20,135695,143771
1788733111.9751742,2,19,135695,143771
1788733111.975177,3,16,135695,143771
1788733111.9751806,4,100,135901,143771
1788733111.9751847,5,48,135901,143771
1788733111.9751883,6,0,4,143771
1788733111.9751918,7,0,4,143771
1788733113.0984752,0,16,135695,143771
1788733113.0984778,1,0,135695,143771
1788733113.0984793,2,7,135695,143771
1788733113.0984805,3,0,135695,143771
1788733113.0984814,4,100,135901,143771
