timestamp,gpu_index,gpu_utilization,memory_used,memory_total
1788736155.4339545,0,0,135899,143771
1788736155.4339657,1,0,135899,143771
1788736155.433971,2,0,135791,143771
1788736155.4339736,3,0,135791,143771
1788736155.4339767,4,0,135791,143771
1788736155.43398,5,0,135791,143771
1788736155.4339824,6,0,4,143771
1788736155.4339857,7,0,4,143771
1788736156.5604155,0,32,135899,143771
1788736156.5604215,1,45,135899,143771
1788736156.5604248,2,100,135791,143771
1788736156.5604274,3,29,135791,143771
1788736156.56043,4,100,135791,143771
1788736156.5604322,5,100,135791,143771
1788736156.5604343,6,0,4,143771
1788736156.5604374,7,0,4,143771
1788736157.683739,0,16,135899,143771
1788736157.683744,1,39,135899,143771
1788736157.683747,2,97,135791,143771
1788736157.6837494,3,31,135791,143771
1788736157.6837518,4,97,135791,143771
1788736157.683754,5,94,135791,143771
1788736157.6837564,6,0,4,143771
1788736157.6837595,7,0,4,143771
1788736158.8083026,0,13,135899,143771
1788736158.8083081,1,17,135899,143771
1788736158.8083117,2,100,135793,143771
1788736158.8083143,3,36,135793,143771
1788736158.808317,4,100,135793,143771
1788736158.808319,5,100,135793,143771
1788736158.8083215,6,0,4,143771
1788736158.8083246,7,0,4,143771
1788736159.9314687,0,20,135899,143771
1788736159.9314737,1,38,135899,143771
1788736159.931477,2,100,135793,143771
1788736159.9314795,3,39,135793,143771
1788736159.931482,4,100,135793,143771
1788736159.9314911,5,100,135793,143771
1788736159.931494,6,0,4,143771
1788736159.9314969,7,0,4,143771
1788736161.056555,0,35,135899,143771
1788736161.0565617,1,53,135899,143771
1788736161.0565653,2,100,135793,143771
1788736161.0565677,3,48,135793,143771
1788736161.0565703,4,100,135793,143771
1788736161.0565727,5,100,135793,143771
1788736161.0565758,6,0,4,143771
1788736161.056579,7,0,4,143771
1788736162.1820412,0,49,135899,143771
1788736162.1820462,1,42,135899,143771
1788736162.182049,2,100,135793,143771
1788736162.1820517,3,41,135793,143771
1788736162.1820543,4,100,135793,143771
1788736162.1820574,5,100,135793,143771
1788736162.1820602,6,0,4,143771
1788736162.1820633,7,0,4,143771
1788736163.3072271,0,34,135899,143771
1788736163.307234,1,34,135899,143771
1788736163.3072379,2,100,135793,143771
1788736163.3072402,3,44,135793,143771
1788736163.307243,4,100,135793,143771
1788736163.307245,5,100,135793,143771
1788736163.3072479,6,0,4,143771
1788736163.307251,7,0,4,143771
1788736164.434824,0,20,135899,143771
1788736164.4348326,1,20,135899,143771
1788736164.4348366,2,100,135793,143771
1788736164.4348397,3,49,135793,143771
1788736164.4348428,4,100,135793,143771
1788736164.4348454,5,100,135793,143771
1788736164.4348485,6,0,4,143771
1788736164.4348514,7,0,4,143771
1788736165.5608325,0,71,135899,143771
1788736165.5608397,1,41,135899,143771
1788736165.5608432,2,100,135793,143771
1788736165.5608459,3,53,135793,143771
1788736165.560849,4,100,135793,143771
1788736165.5608525,5,97,135793,143771
1788736165.5608554,6,0,4,143771
1788736165.5608582,7,0,4,143771
1788736166.6883116,0,18,135899,143771
1788736166.6883173,1,26,135899,143771
1788736166.6883209,2,100,135793,143771
1788736166.6883233,3,68,135793,143771
1788736166.688334,4,100,135793,143771
1788736166.6883361,5,100,135793,143771
1788736166.688339,6,0,4,143771
1788736166.6883419,7,0,4,143771
1788736167.810957,0,19,135899,143771
1788736167.8109612,1,32,135899,143771
1788736167.8109646,2,100,135793,143771
1788736167.8109667,3,68,135793,143771
1788736167.8109694,4,100,135793,143771
1788736167.8109725,5,100,135793,143771
1788736167.810975,6,0,4,143771
1788736167.8109777,7,0,4,143771
1788736168.936692,0,44,135899,143771
1788736168.9366956,1,39,135899,143771
1788736168.9366987,2,99,135793,143771
1788736168.9367008,3,70,135793,143771
1788736168.9367032,4,100,135793,143771
1788736168.9367054,5,100,135793,143771
1788736168.9367075,6,0,4,143771
1788736168.9367101,7,0,4,143771
1788736170.0613835,0,29,135899,143771
1788736170.0613873,1,29,135899,143771
1788736170.0613902,2,97,135793,143771
1788736170.061392,3,71,135793,143771
1788736170.061395,4,100,135793,143771
1788736170.0613983,5,100,135793,143771
1788736170.061401,6,0,4,143771
1788736170.0614033,7,0,4,143771
1788736171.188472,0,20,135899,143771
1788736171.1884763,1,34,135899,143771
1788736171.1884797,2,100,135793,143771
1788736171.1884823,3,79,135793,143771
1788736171.188485,4,100,135793,143771
1788736171.1884875,5,100,135793,143771
1788736171.18849,6,0,4,143771
1788736171.1884928,7,0,4,143771
1788736172.3140805,0,35,135899,143771
1788736172.3140848,1,46,135899,143771
1788736172.3140879,2,100,135793,143771
1788736172.3140903,3,80,135793,143771
1788736172.3140929,4,100,135793,143771
1788736172.3140953,5,100,135793,143771
1788736172.3140974,6,0,4,143771
1788736172.3141,7,0,4,143771
1788736173.4399214,0,24,135899,143771
1788736173.439926,1,32,135899,143771
1788736173.439929,2,100,135793,143771
1788736173.4399323,3,86,135793,143771
1788736173.4399347,4,100,135793,143771
1788736173.4399369,5,100,135793,143771
1788736173.439939,6,0,4,143771
1788736173.439942,7,0,4,143771
1788736174.5678413,0,28,135899,143771
1788736174.5678449,1,29,135899,143771
1788736174.5678482,2,96,135793,143771
1788736174.5678508,3,94,135793,143771
1788736174.5678535,4,97,135793,143771
1788736174.5678558,5,99,135793,143771
1788736174.5678582,6,0,4,143771
1788736174.567861,7,0,4,143771
1788736175.69507,0,24,135899,143771
