timestamp,gpu_index,gpu_utilization,memory_used,memory_total
1788639946.2022362,0,0,135907,143771
1788639946.2022529,1,0,135907,143771
1788639946.2022605,2,42,133269,143771
1788639946.2022672,3,0,4,143771
1788639947.3320642,0,74,135907,143771
1788639947.3320897,1,65,135907,143771
1788639947.332102,2,100,133269,143771
1788639947.332112,3,0,4,143771
1788639948.4608767,0,93,135907,143771
1788639948.4609027,1,93,135907,143771
1788639948.460916,2,100,133269,143771
1788639948.460927,3,0,4,143771
1788639949.594277,0,88,135907,143771
1788639949.5943015,1,89,135907,143771
1788639949.5943143,2,100,133269,143771
1788639949.594325,3,0,4,143771
1788639950.7246692,0,83,135907,143771
1788639950.7246952,1,71,135907,143771
1788639950.7247086,2,100,133269,143771
1788639950.7247195,3,0,4,143771
1788639951.8534088,0,61,135907,143771
1788639951.8534338,1,93,135907,143771
1788639951.8534465,2,100,133269,143771
1788639951.8534572,3,0,4,143771
1788639952.9824076,0,37,135907,143771
1788639952.9824343,1,20,135907,143771
1788639952.9824474,2,100,133269,143771
1788639952.982458,3,0,4,143771
1788639954.11267,0,89,135907,143771
1788639954.1126947,1,94,135907,143771
1788639954.1127074,2,100,133269,143771
1788639954.1127183,3,0,4,143771
1788639955.2404032,0,48,135907,143771
1788639955.2404282,1,82,135907,143771
1788639955.2404406,2,100,133269,143771
1788639955.2404513,3,0,4,143771
1788639956.373728,0,92,135907,143771
1788639956.3737438,1,100,135907,143771
1788639956.373752,2,100,133269,143771
1788639956.3737586,3,0,4,143771
1788639957.5002913,0,100,135907,143771
1788639957.5003183,1,100,135907,143771
1788639957.5003302,2,100,133269,143771
1788639957.5003407,3,0,4,143771
1788639958.6099951,0,100,135907,143771
1788639958.610021,1,100,135907,143771
1788639958.6100328,2,100,133269,143771
1788639958.610043,3,0,4,143771
1788639959.7026405,0,100,135907,143771
1788639959.7026668,1,100,135907,143771
1788639959.7026787,2,100,133269,143771
1788639959.7026887,3,0,4,143771
1788639960.7954628,0,100,135907,143771
1788639960.7954898,1,100,135907,143771
1788639960.7955015,2,100,133269,143771
1788639960.7955112,3,0,4,143771
1788639961.923934,0,100,135907,143771
1788639961.923959,1,100,135907,143771
1788639961.9239712,2,100,133269,143771
1788639961.9239817,3,0,4,143771
1788639963.0544434,0,100,135907,143771
1788639963.0544693,1,100,135907,143771
1788639963.0544813,2,100,133269,143771
1788639963.0544906,3,0,4,143771
1788639964.183557,0,100,135907,143771
1788639964.1835842,1,100,135907,143771
1788639964.183597,2,100,133269,143771
1788639964.183607,3,0,4,143771
1788639965.3123574,0,100,135907,143771
1788639965.3123827,1,100,135907,143771
1788639965.3123949,2,100,133269,143771
1788639965.312404,3,0,4,143771
1788639966.4398386,0,100,135907,143771
1788639966.4398646,1,100,135907,143771
1788639966.4398763,2,100,133269,143771
1788639966.439886,3,0,4,143771
1788639967.5679986,0,100,135907,143771
1788639967.5680256,1,100,135907,143771
1788639967.568038,2,100,133269,143771
1788639967.5680478,3,0,4,143771
1788639968.6968517,0,100,135907,143771
1788639968.6968782,1,100,135907,143771
1788639968.6968908,2,100,133269,143771
1788639968.6969013,3,0,4,143771
1788639969.8242338,0,100,135907,143771
1788639969.8242593,1,100,135907,143771
1788639969.8242702,2,100,133269,143771
1788639969.8242798,3,0,4,143771
1788639970.9538813,0,100,135907,143771
1788639970.9539077,1,100,135907,143771
1788639970.95392,2,100,133269,143771
1788639970.95393,3,0,4,143771
1788639972.0665858,0,100,135907,143771
1788639972.0666127,1,100,135907,143771
