timestamp,gpu_index,gpu_utilization,memory_used,memory_total
1788645605.8498461,0,0,133667,143771
1788645605.8498607,1,68,139337,143771
1788645605.8498683,2,71,139337,143771
1788645605.8498747,3,0,4,143771
1788645606.958716,0,100,133667,143771
1788645606.9587295,1,63,139337,143771
1788645606.9587374,2,100,139337,143771
1788645606.9587443,3,0,4,143771
1788645608.0901775,0,100,133667,143771
1788645608.0901942,1,66,139337,143771
1788645608.0902033,2,100,139337,143771
1788645608.0902114,3,0,4,143771
1788645609.2197332,0,100,133667,143771
1788645609.219748,1,83,139337,143771
1788645609.219756,2,100,139337,143771
1788645609.219762,3,0,4,143771
1788645610.3313198,0,100,133667,143771
1788645610.3313348,1,72,139337,143771
1788645610.3313422,2,100,139337,143771
1788645610.3313487,3,0,4,143771
1788645611.4412456,0,100,133667,143771
1788645611.4412615,1,71,139337,143771
1788645611.4412704,2,100,139337,143771
1788645611.441278,3,0,4,143771
1788645612.5694728,0,100,133667,143771
1788645612.5694864,1,100,139337,143771
1788645612.569493,2,100,139337,143771
1788645612.5694995,3,0,4,143771
1788645613.6979988,0,100,133667,143771
1788645613.698015,1,71,139337,143771
1788645613.6980238,2,100,139337,143771
1788645613.6980317,3,0,4,143771
1788645614.824025,0,100,133667,143771
1788645614.8240395,1,77,139337,143771
1788645614.8240476,2,100,139337,143771
1788645614.8240542,3,0,4,143771
1788645615.9335773,0,100,133667,143771
1788645615.9335928,1,100,139337,143771
1788645615.9336011,2,100,139337,143771
1788645615.9336085,3,0,4,143771
1788645617.0421333,0,100,133667,143771
1788645617.042149,1,71,139337,143771
1788645617.042158,2,100,139337,143771
1788645617.0421653,3,0,4,143771
1788645618.1512694,0,100,133667,143771
1788645618.1512854,1,100,139337,143771
1788645618.1512935,2,100,139337,143771
1788645618.1513011,3,0,4,143771
1788645619.2825313,0,100,133667,143771
1788645619.2825449,1,100,139337,143771
1788645619.282552,2,100,139337,143771
1788645619.2825582,3,0,4,143771
1788645620.3877127,0,100,133667,143771
1788645620.3877294,1,71,139337,143771
1788645620.3877378,2,99,139337,143771
1788645620.3877456,3,0,4,143771
1788645621.4971154,0,100,133667,143771
1788645621.4971309,1,100,139337,143771
1788645621.4971392,2,100,139337,143771
1788645621.4971466,3,0,4,143771
1788645622.6278574,0,100,133667,143771
1788645622.6278706,1,100,139337,143771
1788645622.6278777,2,100,139337,143771
1788645622.6278837,3,0,4,143771
1788645623.755979,0,100,133667,143771
1788645623.755996,1,71,139337,143771
1788645623.7560046,2,100,139337,143771
1788645623.7560124,3,0,4,143771
1788645624.8649845,0,100,133667,143771
1788645624.8649998,1,100,139337,143771
1788645624.865007,2,100,139337,143771
1788645624.8650136,3,0,4,143771
1788645625.9958847,0,100,133667,143771
1788645625.9958978,1,86,139337,143771
1788645625.9959052,2,100,139337,143771
1788645625.9959118,3,0,4,143771
1788645627.1254332,0,100,133667,143771
1788645627.1254494,1,100,139337,143771
1788645627.1254563,2,100,139337,143771
1788645627.1254628,3,0,4,143771
1788645628.255025,0,100,133667,143771
1788645628.2550411,1,100,139337,143771
1788645628.25505,2,100,139337,143771
1788645628.2550578,3,0,4,143771
1788645629.382394,0,100,133667,143771
1788645629.3824086,1,71,139337,143771
1788645629.3824155,2,100,139337,143771
1788645629.3824213,3,0,4,143771
1788645630.5125015,0,100,133667,143771
1788645630.5125258,1,100,139337,143771
1788645630.5125365,2,100,139337,143771
1788645630.512546,3,0,4,143771
1788645631.6068904,0,100,133667,143771
1788645631.6069162,1,89,139337,143771
1788645631.6069279,2,99,139337,143771
1788645631.6069372,3,0,4,143771
1788645632.7019467,0,100,133667,143771
1788645632.7019715,1,79,139337,143771
1788645632.701983,2,100,139337,143771
1788645632.7019925,3,0,4,143771
1788645633.7964554,0,100,133667,143771
1788645633.7964797,1,100,139337,143771
1788645633.7964907,2,100,139337,143771
1788645633.7965,3,0,4,143771
1788645634.8886282,0,100,133667,143771
1788645634.8886526,1,89,139337,143771
1788645634.888664,2,100,139337,143771
1788645634.888673,3,0,4,143771
1788645636.0166154,0,100,133667,143771
1788645636.0166416,1,71,139337,143771
1788645636.0166533,2,100,139337,143771
1788645636.0166626,3,0,4,143771
1788645637.1113706,0,100,133667,143771
1788645637.1113944,1,100,139337,143771
1788645637.1114054,2,100,139337,143771
1788645637.1114144,3,0,4,143771
1788645638.2043827,0,100,133667,143771
1788645638.204407,1,100,139337,143771
1788645638.2044187,2,99,139337,143771
1788645638.2044284,3,0,4,143771
1788645639.3118596,0,100,133667,143771
1788645639.3118844,1,96,139337,143771
1788645639.3118956,2,100,139337,143771
1788645639.3119047,3,0,4,143771
1788645640.4423409,0,100,133667,143771
1788645640.4423652,1,100,139337,143771
1788645640.442376,2,100,139337,143771
1788645640.4423857,3,0,4,143771
1788645641.5745697,0,100,133667,143771
1788645641.5745957,1,71,139337,143771
1788645641.5746083,2,99,139337,143771
1788645641.574618,3,0,4,143771
1788645642.705451,0,100,133667,143771
1788645642.7054753,1,100,139337,143771
1788645642.7054873,2,100,139337,143771
1788645642.7054968,3,0,4,143771
1788645643.834758,0,100,133667,143771
1788645643.834782,1,100,139337,143771
1788645643.8347926,2,100,139337,143771
1788645643.8348024,3,0,4,143771
1788645644.9444199,0,100,133667,143771
1788645644.9444447,1,72,139337,143771
1788645644.944456,2,100,139337,143771
1788645644.9444654,3,0,4,143771
1788645646.1166818,0,100,133667,143771
1788645646.116706,1,100,139337,143771
1788645646.1167176,2,100,139337,143771
1788645646.116727,3,0,4,143771
1788645647.20866,0,100,133667,143771
1788645647.2086859,1,100,139337,143771
1788645647.2086973,2,99,139337,143771
1788645647.2087073,3,0,4,143771
1788645648.3175,0,100,133667,143771
1788645648.3175242,1,89,139337,143771
1788645648.3175364,2,100,139337,143771
1788645648.3175454,3,0,4,143771
1788645649.444351,0,100,133667,143771
1788645649.4443748,1,100,139337,143771
1788645649.4443862,2,100,139337,143771
1788645649.4443958,3,0,4,143771
1788645650.5747652,0,100,133667,143771
1788645650.57479,1,70,139337,143771
1788645650.5748012,2,100,139337,143771
1788645650.5748115,3,0,4,143771
1788645651.6659808,0,100,133667,143771
1788645651.666005,1,72,139337,143771
1788645651.6660166,2,100,139337,143771
1788645651.6660264,3,0,4,143771
1788645652.799559,0,100,133667,143771
1788645652.799583,1,100,139337,143771
1788645652.7995937,2,100,139337,143771
1788645652.7996037,3,0,4,143771
1788645653.9282007,0,100,133667,143771
1788645653.9282272,1,71,139337,143771
1788645653.9282393,2,100,139337,143771
1788645653.928249,3,0,4,143771
1788645655.0189865,0,100,133667,143771
1788645655.0190105,1,100,139337,143771
1788645655.0190217,2,100,139337,143771
1788645655.0190308,3,0,4,143771
1788645656.1507444,0,100,133667,143771
1788645656.1507688,1,100,139337,143771
1788645656.1507797,2,100,139337,143771
1788645656.1507885,3,0,4,143771
1788645657.2803383,0,100,133667,143771
1788645657.280363,1,95,139337,143771
1788645657.2803745,2,100,139337,143771
1788645657.2803845,3,0,4,143771
1788645658.370182,0,100,133667,143771
1788645658.3702056,1,100,139337,143771
1788645658.3702176,2,100,139337,143771
1788645658.3702269,3,0,4,143771
1788645659.5027425,0,100,133667,143771
