timestamp,gpu_index,gpu_utilization,memory_used,memory_total
1788636300.6332738,0,0,135865,143771
1788636300.6332884,1,0,135865,143771
1788636300.6332958,2,0,136903,143771
1788636300.6333013,3,0,136903,143771
1788636301.7634864,0,51,135865,143771
1788636301.7635117,1,68,135865,143771
1788636301.763525,2,100,136903,143771
1788636301.7635367,3,100,136903,143771
1788636302.8701038,0,79,135865,143771
1788636302.8701186,1,77,135865,143771
1788636302.870126,2,100,136903,143771
1788636302.8701315,3,100,136903,143771
1788636303.9843838,0,49,135865,143771
1788636303.9844089,1,56,135865,143771
1788636303.9844217,2,100,136903,143771
1788636303.9844325,3,100,136903,143771
1788636305.1121721,0,85,135865,143771
1788636305.1121967,1,59,135865,143771
1788636305.1122103,2,100,136903,143771
1788636305.1122205,3,100,136903,143771
1788636306.2422774,0,80,135865,143771
1788636306.2423015,1,90,135865,143771
1788636306.242315,2,100,136903,143771
1788636306.2423265,3,100,136903,143771
1788636307.3750553,0,76,135865,143771
1788636307.3750803,1,85,135865,143771
1788636307.3750942,2,100,136903,143771
1788636307.3751042,3,100,136903,143771
1788636308.466251,0,75,135865,143771
1788636308.4662845,1,70,135865,143771
1788636308.4663062,2,100,136903,143771
1788636308.4663246,3,100,136903,143771
1788636309.5763211,0,66,135865,143771
1788636309.5763457,1,50,135865,143771
1788636309.5763595,2,100,136903,143771
1788636309.5763698,3,100,136903,143771
1788636310.7044926,0,92,135865,143771
1788636310.7045174,1,77,135865,143771
1788636310.7045305,2,100,136903,143771
1788636310.704541,3,100,136903,143771
1788636311.8342075,0,68,135865,143771
1788636311.8342326,1,68,135865,143771
1788636311.8342464,2,100,136903,143771
1788636311.8342562,3,100,136903,143771
1788636312.9679027,0,92,135865,143771
1788636312.9679275,1,92,135865,143771
1788636312.9679403,2,100,136903,143771
1788636312.967951,3,100,136903,143771
1788636314.0965087,0,90,135865,143771
1788636314.0965328,1,87,135865,143771
1788636314.0965464,2,100,136903,143771
1788636314.096557,3,100,136903,143771
1788636315.225126,0,58,135865,143771
1788636315.2251582,1,37,135865,143771
1788636315.225176,2,100,136903,143771
1788636315.2251897,3,100,136903,143771
1788636316.36021,0,89,135865,143771
1788636316.3602345,1,56,135865,143771
1788636316.3602486,2,100,136903,143771
