timestamp,gpu_index,gpu_utilization,memory_used,memory_total
1788825386.860847,0,0,134215,143771
1788825386.860855,1,0,134797,143771
1788825387.901922,0,0,134215,143771
1788825387.9019296,1,86,134797,143771
1788825388.9386702,0,37,134215,143771
1788825388.9386778,1,91,134797,143771
1788825389.978179,0,37,134215,143771
1788825389.978186,1,85,134797,143771
1788825391.0197737,0,74,134215,143771
1788825391.019781,1,94,134797,143771
1788825392.0602949,0,39,134215,143771
1788825392.0603013,1,100,134797,143771
1788825393.1001778,0,72,134215,143771
1788825393.1001852,1,100,134797,143771
1788825394.1409333,0,0,134215,143771
1788825394.1409404,1,100,134797,143771
1788825395.1813686,0,75,134215,143771
1788825395.181377,1,100,134797,143771
1788825396.2217607,0,0,134215,143771
1788825396.2217681,1,100,134797,143771
1788825397.2597558,0,78,134215,143771
1788825397.259763,1,100,134797,143771
1788825398.2989216,0,69,134215,143771
1788825398.29893,1,100,134797,143771
1788825399.3379161,0,37,134215,143771
1788825399.337924,1,100,134797,143771
1788825400.3768935,0,37,134215,143771
1788825400.376901,1,100,134797,143771
1788825401.4151125,0,0,134215,143771
1788825401.4151196,1,100,134797,143771
1788825402.453952,0,37,134215,143771
1788825402.4539592,1,100,134797,143771
1788825403.4933202,0,9,134215,143771
1788825403.4933283,1,100,134797,143771
1788825404.5340674,0,35,134215,143771
1788825404.5340748,1,100,134797,143771
1788825405.5717602,0,0,134215,143771
1788825405.5717673,1,100,134797,143771
1788825406.6084197,0,34,134215,143771
1788825406.608427,1,100,134797,143771
1788825407.6443572,0,20,134215,143771
1788825407.6443658,1,100,134797,143771
1788825408.6846554,0,65,134215,143771
1788825408.6846626,1,100,134797,143771
1788825409.7217107,0,38,134215,143771
1788825409.7217183,1,100,134797,143771
1788825410.758038,0,69,134215,143771
1788825410.7580462,1,100,134797,143771
1788825411.7979965,0,3,134215,143771
1788825411.7980042,1,100,134797,143771
1788825412.8361046,0,0,134215,143771
1788825412.8361125,1,100,134797,143771
1788825413.8743236,0,28,134215,143771
1788825413.8743334,1,100,134797,143771
1788825414.9130554,0,36,134215,143771
1788825414.9130626,1,100,134797,143771
1788825415.950493,0,85,134215,143771
1788825415.9505186,1,100,134797,143771
1788825416.984299,0,95,134215,143771
1788825416.9843066,1,100,134797,143771
1788825418.0224547,0,0,134215,143771
1788825418.0224621,1,100,134797,143771
1788825419.0608299,0,0,134215,143771
1788825419.0608377,1,100,134797,143771
1788825420.0907862,0,37,134215,143771
1788825420.090797,1,100,134797,143771
1788825421.1303189,0,0,134215,143771
1788825421.130326,1,100,134797,143771
1788825422.163197,0,11,134215,143771
1788825422.1632042,1,100,134797,143771
1788825423.1991792,0,26,134215,143771
1788825423.1991863,1,100,134797,143771
1788825424.2401369,0,39,134215,143771
1788825424.240144,1,100,134797,143771
1788825425.2791693,0,37,134215,143771
1788825425.279177,1,100,134797,143771
1788825426.317966,0,39,134215,143771
1788825426.317975,1,100,134797,143771
1788825427.3557725,0,62,134215,143771
1788825427.35578,1,100,134797,143771
1788825428.3923235,0,24,134215,143771
1788825428.3923311,1,100,134797,143771
1788825429.4325373,0,0,134215,143771
1788825429.4325447,1,100,134797,143771
1788825430.4710848,0,59,134215,143771
1788825430.4710922,1,100,134797,143771
1788825431.5092027,0,69,134215,143771
1788825431.5092103,1,100,134797,143771
1788825432.55062,0,95,134215,143771
1788825432.5506284,1,100,134797,143771
1788825433.588589,0,37,134215,143771
1788825433.5885968,1,100,134797,143771
1788825434.628055,0,0,134215,143771
1788825434.6280656,1,100,134797,143771
1788825435.6683125,0,0,134215,143771
1788825435.6683197,1,100,134797,143771
1788825436.7063496,0,36,134215,143771
1788825436.7063572,1,100,134797,143771
1788825437.7458,0,40,134215,143771
1788825437.7458084,1,100,134797,143771
1788825438.7850645,0,56,134215,143771
1788825438.785072,1,100,134797,143771
1788825439.8217793,0,88,134215,143771
1788825439.8217869,1,100,134797,143771
1788825440.8604226,0,0,134215,143771
1788825440.8604302,1,100,134797,143771
1788825441.8994148,0,0,134215,143771
1788825441.8994224,1,100,134797,143771
1788825442.9378653,0,0,134215,143771
