timestamp,gpu_index,gpu_utilization,memory_used,memory_total
1788121835.1969156,0,0,134215,143771
1788121835.1969435,1,0,136279,143771
1788121836.2275321,0,0,134215,143771
1788121836.227544,1,0,136279,143771
1788121837.2569933,0,0,134215,143771
1788121837.257003,1,0,136279,143771
1788121838.286265,0,0,134215,143771
1788121838.2862751,1,0,136279,143771
1788121839.3287385,0,0,134215,143771
1788121839.3287585,1,0,136279,143771
1788121840.358879,0,0,134215,143771
1788121840.3589056,1,0,136279,143771
1788121841.3954072,0,0,134215,143771
1788121841.3954275,1,0,136279,143771
1788121842.4397774,0,0,134215,143771
1788121842.439796,1,0,136279,143771
1788121843.484386,0,0,134215,143771
1788121843.4844084,1,0,136279,143771
1788121844.528502,0,0,134215,143771
1788121844.5285232,1,0,136279,143771
1788121845.5734105,0,0,134215,143771
1788121845.5734403,1,0,136279,143771
1788121846.6171958,0,0,134215,143771
1788121846.6172152,1,0,136279,143771
1788121847.6596982,0,0,134215,143771
1788121847.6597185,1,0,136279,143771
1788121848.6857455,0,0,134215,143771
1788121848.685767,1,0,136279,143771
1788121849.7134247,0,0,134215,143771
1788121849.7134418,1,0,136279,143771
1788121850.7470622,0,0,134215,143771
1788121850.7470822,1,0,136279,143771
1788121851.791098,0,0,134215,143771
1788121851.7911267,1,0,136279,143771
1788121852.834154,0,0,134215,143771
1788121852.8341744,1,83,136279,143771
1788121853.8616912,0,35,134215,143771
1788121853.8617084,1,88,136279,143771
1788121854.890806,0,35,134215,143771
1788121854.8908222,1,76,136279,143771
1788121855.93506,0,0,134215,143771
1788121855.9350772,1,96,136279,143771
1788121856.9635298,0,15,134215,143771
1788121856.9635444,1,99,136279,143771
1788121858.0086102,0,58,134215,143771
1788121858.0086458,1,94,136279,143771
1788121859.0533483,0,0,134215,143771
1788121859.053367,1,74,136279,143771
1788121860.082904,0,62,134215,143771
1788121860.082922,1,100,136279,143771
1788121861.112593,0,0,134215,143771
1788121861.112609,1,81,136279,143771
1788121862.1431549,0,56,134215,143771
1788121862.143172,1,100,136279,143771
1788121863.1880746,0,21,134215,143771
1788121863.1880922,1,100,136279,143771
1788121864.2317753,0,38,134215,143771
1788121864.2317917,1,94,136279,143771
1788121865.2618697,0,34,134215,143771
1788121865.261885,1,100,136279,143771
1788121866.2910433,0,0,134215,143771
1788121866.291058,1,100,136279,143771
1788121867.3355958,0,96,134215,143771
1788121867.3356109,1,100,136279,143771
1788121868.364379,0,22,134215,143771
1788121868.3643968,1,100,136279,143771
1788121869.411445,0,13,134215,143771
1788121869.411473,1,100,136279,143771
1788121870.4585702,0,0,134215,143771
1788121870.458599,1,100,136279,143771
1788121871.5048993,0,53,134215,143771
1788121871.5049262,1,100,136279,143771
1788121872.5488846,0,35,134215,143771
1788121872.5489116,1,100,136279,143771
1788121873.594445,0,76,134215,143771
1788121873.5944717,1,100,136279,143771
1788121874.6387227,0,39,134215,143771
1788121874.6387508,1,100,136279,143771
1788121875.683029,0,92,134215,143771
1788121875.683056,1,100,136279,143771
1788121876.726939,0,10,134215,143771
1788121876.7269745,1,100,136279,143771
1788121877.772597,0,0,134215,143771
1788121877.7726479,1,100,136279,143771
1788121878.8028944,0,9,134215,143771
1788121878.8029218,1,100,136279,143771
1788121879.847081,0,21,134215,143771
1788121879.8471062,1,100,136279,143771
1788121880.8781776,0,59,134215,143771
1788121880.878204,1,100,136279,143771
1788121881.9071984,0,77,134215,143771
1788121881.9072251,1,100,136279,143771
1788121882.970415,0,43,134215,143771
1788121882.9704454,1,100,136279,143771
1788121884.0162847,0,37,134215,143771
1788121884.0163062,1,100,136279,143771
1788121885.0501897,0,34,134215,143771
1788121885.0502198,1,100,136279,143771
1788121886.0959635,0,0,134215,143771
1788121886.0959926,1,100,136279,143771
1788121887.1272874,0,35,134215,143771
1788121887.1273074,1,100,136279,143771
1788121888.1737196,0,29,134215,143771
1788121888.1737428,1,100,136279,143771
1788121889.2201598,0,0,134215,143771
