timestamp,gpu_index,gpu_utilization,memory_used,memory_total
1788547403.0793324,0,0,134171,143771
1788547403.0793815,1,0,134173,143771
1788547404.122925,0,100,134173,143771
1788547404.1229515,1,100,134173,143771
1788547405.1704502,0,100,134173,143771
1788547405.170496,1,73,134173,143771
1788547406.211897,0,100,134173,143771
1788547406.2119234,1,100,134173,143771
1788547407.259604,0,100,134173,143771
1788547407.2596304,1,100,134173,143771
1788547408.307744,0,100,134173,143771
1788547408.3077664,1,100,134173,143771
1788547409.3532312,0,100,134173,143771
1788547409.3532426,1,100,134173,143771
1788547410.4000554,0,100,134173,143771
1788547410.400125,1,100,134173,143771
1788547411.4446192,0,100,134173,143771
1788547411.4446466,1,100,134173,143771
1788547412.4940686,0,100,134173,143771
1788547412.494105,1,100,134173,143771
1788547413.5378597,0,100,134173,143771
1788547413.5378866,1,100,134173,143771
1788547414.5795934,0,100,134173,143771
1788547414.57962,1,94,134173,143771
1788547415.6211069,0,100,134173,143771
1788547415.6211343,1,100,134173,143771
1788547416.6623876,0,100,134173,143771
1788547416.6624162,1,100,134173,143771
1788547417.709318,0,100,134173,143771
1788547417.7093458,1,100,134173,143771
1788547418.756027,0,100,134173,143771
1788547418.7560534,1,100,134173,143771
1788547419.7981057,0,100,134173,143771
1788547419.7981331,1,100,134173,143771
1788547420.84625,0,100,134173,143771
1788547420.8462772,1,100,134173,143771
1788547421.8961468,0,100,134173,143771
1788547421.8961737,1,100,134173,143771
1788547422.9377666,0,100,134173,143771
1788547422.9377944,1,100,134173,143771
1788547423.9847941,0,100,134173,143771
1788547423.9848228,1,100,134173,143771
1788547425.035881,0,100,134173,143771
1788547425.0359077,1,100,134173,143771
1788547426.0800326,0,100,134173,143771
1788547426.0800602,1,100,134173,143771
1788547427.1257758,0,100,134173,143771
1788547427.1258035,1,100,134173,143771
1788547428.1722913,0,100,134173,143771
1788547428.172319,1,100,134173,143771
1788547429.2192183,0,100,134173,143771
1788547429.2192457,1,100,134173,143771
1788547430.2656014,0,100,134173,143771
1788547430.2656288,1,100,134173,143771
1788547431.3132327,0,100,134173,143771
1788547431.3132591,1,100,134173,143771
1788547432.360428,0,100,134173,143771
1788547432.3604548,1,100,134173,143771
1788547433.4078424,0,100,134173,143771
1788547433.4078715,1,100,134173,143771
1788547434.4581568,0,100,134173,143771
1788547434.4581828,1,100,134173,143771
1788547435.5052485,0,100,134173,143771
1788547435.505276,1,100,134173,143771
1788547436.5522497,0,100,134173,143771
1788547436.5522795,1,100,134173,143771
1788547437.5998669,0,100,134173,143771
1788547437.5998878,1,100,134173,143771
1788547438.6461983,0,100,134173,143771
1788547438.6462264,1,100,134173,143771
1788547439.6927853,0,100,134173,143771
1788547439.6928124,1,100,134173,143771
1788547440.7396564,0,100,134173,143771
1788547440.7396846,1,100,134173,143771
1788547441.7861958,0,100,134173,143771
1788547441.7862241,1,100,134173,143771
1788547442.833621,0,100,134173,143771
1788547442.8336492,1,100,134173,143771
1788547443.8814373,0,0,134173,143771
1788547443.8814657,1,100,134173,143771
1788547444.9318767,0,0,134173,143771
1788547444.9319053,1,100,134173,143771
1788547445.979535,0,0,134173,143771
1788547445.9795644,1,100,134173,143771
1788547447.0346668,0,0,134173,143771
1788547447.0346956,1,96,134175,143771
1788547448.0854504,0,0,134173,143771
1788547448.0854805,1,80,134175,143771
1788547449.1298995,0,0,134173,143771
1788547449.1299284,1,0,134175,143771
1788547450.1767647,0,0,134173,143771
1788547450.1767938,1,0,134175,143771
1788547451.2208714,0,0,134173,143771
1788547451.2209015,1,0,134175,143771
1788547674.8934357,0,0,134169,143771
1788547674.8934777,1,25,134173,143771
1788547675.940645,0,95,134169,143771
1788547675.9406736,1,94,134173,143771
1788547676.9884098,0,35,134169,143771
1788547676.9884548,1,81,134173,143771
1788547678.0351682,0,100,134169,143771
1788547678.0351954,1,97,134173,143771
1788547679.0814955,0,100,134169,143771
1788547679.0815234,1,100,134173,143771
1788547680.1274214,0,100,134169,143771
1788547680.1274366,1,100,134173,143771
1788547681.17341,0,100,134169,143771
1788547681.1734245,1,100,134173,143771
1788547682.2151053,0,100,134169,143771
1788547682.2151344,1,100,134173,143771
1788547683.2623472,0,100,134169,143771
1788547683.2623756,1,100,134173,143771
1788547684.3015616,0,100,134169,143771
1788547684.3015888,1,100,134173,143771
1788547685.3493998,0,100,134169,143771
1788547685.3494263,1,100,134173,143771
1788547686.4007509,0,100,134169,143771
1788547686.4007776,1,100,134173,143771
1788547687.445646,0,100,134169,143771
1788547687.4456651,1,94,134173,143771
1788547688.4957318,0,100,134169,143771
1788547688.4957612,1,100,134173,143771
1788547689.5453038,0,100,134169,143771
1788547689.5453327,1,100,134173,143771
1788547690.5922282,0,100,134169,143771
1788547690.592257,1,100,134173,143771
1788547691.638925,0,100,134169,143771
1788547691.6389542,1,100,134173,143771
1788547692.6857836,0,100,134169,143771
1788547692.6858127,1,100,134173,143771
1788547693.7320375,0,100,134169,143771
1788547693.732065,1,100,134173,143771
1788547694.7798953,0,100,134169,143771
1788547694.779922,1,100,134173,143771
1788547695.8258727,0,100,134169,143771
1788547695.8259006,1,100,134173,143771
1788547696.8764045,0,100,134169,143771
1788547696.8764338,1,100,134173,143771
1788547697.9222422,0,100,134169,143771
1788547697.9222693,1,100,134173,143771
1788547698.9725223,0,100,134169,143771
1788547698.9725513,1,100,134173,143771
1788547700.0213895,0,100,134169,143771
1788547700.0214162,1,100,134173,143771
1788547701.071995,0,100,134169,143771
1788547701.0720236,1,100,134173,143771
1788547702.1196191,0,100,134169,143771
1788547702.1196492,1,100,134173,143771
1788547703.1667604,0,100,134169,143771
1788547703.1667888,1,100,134173,143771
1788547704.2191484,0,100,134169,143771
1788547704.2191753,1,100,134173,143771
1788547705.2743735,0,100,134169,143771
1788547705.2744002,1,100,134173,143771
1788547706.3242445,0,100,134169,143771
1788547706.3242712,1,100,134173,143771
1788547707.373586,0,100,134169,143771
1788547707.373613,1,100,134173,143771
1788547708.425183,0,100,134169,143771
1788547708.4252121,1,100,134173,143771
1788547709.4774768,0,100,134169,143771
1788547709.477504,1,100,134173,143771
1788547710.5386677,0,100,134169,143771
1788547710.5386949,1,100,134173,143771
1788547711.5881822,0,100,134169,143771
1788547711.5882115,1,100,134173,143771
1788547712.6413252,0,100,134169,143771
1788547712.6413524,1,100,134173,143771
1788547713.6946037,0,100,134169,143771
1788547713.6946301,1,100,134173,143771
1788547714.7492006,0,100,134169,143771
1788547714.7492318,1,100,134173,143771
1788547715.7989092,0,0,134171,143771
1788547715.7989376,1,100,134173,143771
1788547716.8479598,0,0,134171,143771
1788547716.8479896,1,100,134173,143771
1788547717.8976994,0,0,134171,143771
1788547717.897728,1,100,134173,143771
1788547718.9499388,0,0,134171,143771
1788547718.9499676,1,100,134173,143771
1788547719.9999137,0,0,134171,143771
1788547719.999943,1,93,134175,143771
1788547721.0451467,0,0,134171,143771
1788547721.0451741,1,0,134175,143771
1788547722.0941753,0,0,134171,143771
1788547722.0942056,1,0,134175,143771
1788547723.1385179,0,0,134171,143771
1788547723.1385484,1,0,134175,143771
1788547724.179206,0,0,134171,143771
1788547724.179234,1,0,134175,143771
